gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,1,Blue,top,957,oe:player:2ba596643cbbbc20318224181fa46b2,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Cho'Gath,Rek'Sai,Alistar,Tristana,Karma,Shen,2830,1,2,4,5,11,15,0,0,0,0,0,0,0,0,0.2332,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9560,202.6855,0.0908953,886.8975,1367.9788,26,0.5512,11,0.2332,2,52,1.1025,16005,9977,211.5265,0.170003,13600,,286,280,6,3,0,6.0636,3349,5025,92,3153,4556,79,196,469,13,0,0,0,0,1,0,4880,7457,130,4788,7210,126,92,247,4,0,0,0,0,1,0
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,2,Blue,jng,Condi,oe:player:4792ad71dfce44c8d35765c41c07cca,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Gragas,Rek'Sai,Alistar,Tristana,Karma,Shen,2830,1,0,4,8,11,15,0,0,0,0,0,0,0,1,0.2332,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9883,209.5336,0.0939663,1117.2509,1317.9011,48,1.0177,20,0.424,18,101,2.1413,15042,9014,191.1095,0.153593,13825,,171,25,146,93,12,3.6254,2956,3318,49,2667,3332,32,289,-14,17,0,0,1,0,1,0,4323,4685,69,4234,5009,58,89,-324,11,0,0,1,0,1,0
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,3,Blue,mid,xiye,oe:player:adf9d4f627b07e1c80f85c1e25f4bb8,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Corki,Rek'Sai,Alistar,Tristana,Karma,Shen,2830,1,6,1,5,11,15,0,0,0,0,0,0,0,0,0.2332,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,43306,918.1484,0.411748,439.9293,371.8304,9,0.1908,25,0.53,5,84,1.7809,21202,15174,321.7102,0.25856,18208,,435,417,18,13,3,9.2226,3140,4592,78,3875,5083,95,-735,-491,-17,0,0,0,1,0,0,5147,7588,140,5799,8102,150,-652,-514,-10,0,0,0,1,0,0
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,4,Blue,bot,Mystic,oe:player:7b28158d613ea1869441676fa32a3b5,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Xayah,Rek'Sai,Alistar,Tristana,Karma,Shen,2830,1,3,3,5,11,15,0,0,0,0,0,0,0,0,0.2332,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,39632,840.2544,0.376816,454.5371,336.9965,17,0.3604,24,0.5088,1,104,2.2049,20291,14263,302.3958,0.243037,17775,,433,402,31,20,5,9.1802,3142,3112,84,3230,3081,83,-88,31,1,0,0,0,0,1,0,5372,5206,143,5176,5283,139,196,-77,4,0,0,0,0,1,0
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,5,Blue,sup,Ben,oe:player:092f2ba9f39fbc2876e64d12cd662f7,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Janna,Rek'Sai,Alistar,Tristana,Karma,Shen,2830,1,0,3,10,11,15,0,0,0,0,0,0,0,0,0.2332,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2795,59.258,0.0265745,312.742,193.3145,60,1.2721,13,0.2756,20,98,2.0777,16287,10259,217.5053,0.174808,14100,,15,15,0,0,0,0.318,2533,3053,2,2051,2882,12,482,171,-10,0,0,0,0,1,0,4256,4586,5,3300,4123,21,956,463,-16,0,0,0,0,1,0
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,6,Red,top,Jirall,oe:player:ff1c2739dbfa8f1dfeccb61919cb9ab,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,Maokai,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,2830,0,0,3,13,15,11,0,0,0,0,1,0,1,0,0.318,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,18512,392.4806,0.160724,778.4311,1087.1237,24,0.5088,10,0.212,8,47,0.9965,13421,7393,156.742,0.159747,13450,,289,280,9,9,0,6.1272,3153,4556,79,3349,5025,92,-196,-469,-13,0,1,0,0,0,0,4788,7210,126,4880,7457,130,-92,-247,-4,0,1,0,0,0,0
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,7,Red,jng,Oddie,oe:player:de23ee5a66222e1e02da354414f2971,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,Lee Sin,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,2830,0,2,3,10,15,11,0,0,0,0,1,0,1,0,0.318,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7559,160.2615,0.0656283,765.583,1084.1767,48,1.0177,5,0.106,11,76,1.6113,12619,6591,139.7385,0.142416,12300,,150,29,121,76,3,3.1802,2667,3332,32,2956,3318,49,-289,14,-17,0,1,0,0,0,1,4234,5009,58,4323,4685,69,-89,324,-11,0,1,0,0,0,1
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,8,Red,mid,Seiya,oe:player:7378a82177ee6bee2015ac5d134abe3,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,Syndra,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,2830,0,5,1,9,15,11,1,0,0,0,1,1,0,0,0.318,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,32273,684.2332,0.280199,217.0177,134.8834,14,0.2968,14,0.2968,12,61,1.2933,17722,11694,247.9293,0.252687,16350,,403,365,38,21,0,8.5442,3875,5083,95,3140,4592,78,735,491,17,1,0,0,0,0,0,5799,8102,150,5147,7588,140,652,514,10,1,0,0,0,0,0
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,9,Red,bot,WhiteLotus,oe:player:0c5ad5df75cf72ddf6263f311440242,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,Kog'Maw,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,2830,0,8,1,7,15,11,2,0,0,0,1,0,1,0,0.318,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,49255,1044.2756,0.427639,598.4311,503.2792,18,0.3816,17,0.3604,3,69,1.4629,20816,14788,313.5265,0.319545,20285,,460,421,39,27,2,9.7527,3230,3081,83,3142,3112,84,88,-31,-1,0,1,0,0,0,0,5176,5283,139,5372,5206,143,-196,77,-4,0,1,0,0,0,0
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,10,Red,sup,Genthix,oe:player:45299b6d8ad2fe721f4eb3c5d804fec,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,Braum,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,2830,0,0,3,15,15,11,0,0,0,0,1,0,1,0,0.318,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,7580,160.7067,0.0658106,568.1343,920.5654,70,1.4841,15,0.318,20,118,2.5018,11841,5813,123.2438,0.125605,11750,,70,70,0,0,0,1.4841,2051,2882,12,2533,3053,2,-482,-171,10,0,1,0,0,0,0,3300,4123,21,4256,4586,5,-956,-463,16,0,1,0,0,0,0
